"","Shuman","Restorff","Malu","WestChaimain","Tuare","Wulai","Tarobi","Muli","Tiwongo","Talele"
"Shuman",0,1.0529018601444,2.85136200058175,11.2746614854784,21.2617429794563,34.8119021180276,59.5068782250804,115.437645807295,125.401078358022,205.042248721523
"Restorff",1.0529018601444,0,1.79846014043735,10.221759625334,20.2088411193119,33.7590002578832,58.453976364936,114.384743947151,124.348176497877,203.989346861378
"Malu",2.85136200058175,1.79846014043735,0,8.42329948489662,18.4103809788746,31.9605401174458,56.6555162244987,112.586283806713,122.54971635744,202.190886720941
"WestChaimain",11.2746614854784,10.221759625334,8.42329948489662,0,9.98708149397797,23.5372406325492,48.232216739602,104.162984321817,114.126416872543,193.767587236044
"Tuare",21.2617429794563,20.2088411193119,18.4103809788746,9.98708149397797,0,13.5501591385713,38.2451352456241,94.1759028278388,104.139335378565,183.780505742066
"Wulai",34.8119021180276,33.7590002578832,31.9605401174458,23.5372406325492,13.5501591385713,0,24.6949761070528,80.6257436892676,90.5891762399941,170.230346603495
"Tarobi",59.5068782250804,58.453976364936,56.6555162244987,48.232216739602,38.2451352456241,24.6949761070528,0,55.9307675822147,65.8942001329413,145.535370496442
"Muli",115.437645807295,114.384743947151,112.586283806713,104.162984321817,94.1759028278388,80.6257436892676,55.9307675822147,0,9.96343255072652,89.6046029142274
"Tiwongo",125.401078358022,124.348176497877,122.54971635744,114.126416872543,104.139335378565,90.5891762399941,65.8942001329413,9.96343255072652,0,79.6411703635009
"Talele",205.042248721523,203.989346861378,202.190886720941,193.767587236044,183.780505742066,170.230346603495,145.535370496442,89.6046029142274,79.6411703635009,0
